,sentence,score,magnitude
3140,“me voy de pecho” “salgo sin ropa por ahi” empiecen cabrone…,-0.10000000149011612,0.10000000149011612
3141,Ese “YES” me salió desde lo más profundo de mi ser.,0.0,0.0
3142,"#RickyRenuncio #RickyTeBotamos #RickySeFue https://t.co/buo5EYpNzB
Somos la puta resistencia #RickyRenuncio
#RickyRenuncio, y #PuertoRico  nos dio una lección a todos, ¡el pueblo unido puede sacar a los corruptos!, 🙌🏼👏🏼🙌🏼👏🏼
#RickyRenuncio !!!",0.4000000059604645,0.4000000059604645
3143,"Aquí es donde vengo a reprochar esa indiferencia Colombiana, en puerto rico en menos de 3 semana…",0.5,0.5
3144,"https://t.co/UPdJGsR0LC
💪🏾🇵🇷
bueno papi empezo a beber tempranito #EstaEnCelebración #RickyRenuncio
#WandaRenuncia !!!!!",0.5,0.5
3145,"#WandaVazquezCorrupta #UnNuevoPuertoRico  #RickySeFue #RickyRenuncio
Alguien que me diga si lo de la milla de oro continúa 👀 #ElParoDeCelebracion #RickyRenuncio
#RickyRenuncio Ricardo Rosselló dimite como gobernador de Puerto Rico en medio de protestas en el país https://t.co/1gR1FrZFjs
RT @ivanel99: #Rickyrenuncio https://t.co/0zkfgSOysd
We need to do the same here in the US
RT @Janekeithduran: Que los comentarios misóginos, homofóbicos o insultantes en contra de personas vulnerabilizadas nunca queden impunes.",-0.20000000298023224,0.20000000298023224
3146,A…,0.10000000149011612,0.10000000149011612
3147,🎉🎉🎉 #RickyRenunció rebajamos 150 dólares adicionales a nuestra oferta!,0.5,0.5
3148,"Válido hoy 25/07/2019, solo para comercios l… https://t.co/3SNPBNmUVL
The Despacito guy came to the party but not the preparation and Puerto Ricans ain't having it.",-0.6000000238418579,0.6000000238418579
3149,"RT @laurabarbosatv: Here in the milla de oro, even dogs are coming out to show their pride #RickyRenuncio https://t.co/uqro8x3C5Q
Perreo Revolucionario ✨ #RickyRenunció #PaFuera #UnNuevoPuertoRico https://t.co/NNFXi2glov
RT @unnombreahi_17: El día de ayer tuvo unas 32 horas.",0.5,0.5
3150,"#RickyRenunció #WandaRenuncia
Muy orgullosa de mi Isla y de mi gente.",0.800000011920929,0.800000011920929
3151,"Que viva #PuertoRico #RickyRenuncio #PuertoRicoSeRespeta
could this also be applied to the UK too?",0.0,0.0
3152,separating hypothetically.,0.0,0.0
